filename,label,iou,x1,y1,x2,y2,gt_box
00000_0004_pos.png,1,0.6682027578353882,182,173,211,183,"[181.0, 171.0, 212.0, 185.0]"
00000_0044_pos.png,1,0.692307710647583,319,212,407,240,"[320.0, 216.0, 408.0, 246.0]"
00000_0054_pos.png,1,0.8410087823867798,144,235,204,261,"[141.0, 233.0, 203.0, 262.0]"
00000_0089_pos.png,1,0.7066380977630615,182,173,215,184,"[181.0, 171.0, 212.0, 185.0]"
00000_0016_neg.png,0,0.0,402,0,450,106,"[141.0, 233.0, 203.0, 262.0]"
00000_0041_neg.png,0,0.0,203,107,240,114,"[141.0, 233.0, 203.0, 262.0]"
00000_0073_neg.png,0,0.0,433,273,450,286,"[141.0, 233.0, 203.0, 262.0]"
00000_0082_neg.png,0,0.47058823704719543,186,176,213,184,"[181.0, 171.0, 212.0, 185.0]"
00000_0099_neg.png,0,0.0,129,38,144,51,"[141.0, 233.0, 203.0, 262.0]"
00000_0048_neg.png,0,0.0,76,258,91,271,"[141.0, 233.0, 203.0, 262.0]"
00000_0020_neg.png,0,0.0,304,91,450,119,"[141.0, 233.0, 203.0, 262.0]"
00000_0022_neg.png,0,0.0,162,81,192,96,"[141.0, 233.0, 203.0, 262.0]"
00000_0055_neg.png,0,0.0,61,68,109,79,"[141.0, 233.0, 203.0, 262.0]"
00000_0005_neg.png,0,0.0,334,14,367,24,"[141.0, 233.0, 203.0, 262.0]"
00000_0083_neg.png,0,0.39676111936569214,244,178,277,188,"[236.0, 175.0, 272.0, 185.0]"
00000_0002_neg.png,0,0.0,282,249,305,264,"[141.0, 233.0, 203.0, 262.0]"
00000_0014_neg.png,0,0.06429489701986313,59,176,102,258,"[87.0, 172.0, 147.0, 196.0]"
00000_0091_neg.png,0,0.026486080139875412,7,75,450,300,"[320.0, 216.0, 408.0, 246.0]"
00000_0019_neg.png,0,0.0,165,0,180,46,"[141.0, 233.0, 203.0, 262.0]"
00000_0015_neg.png,0,0.0,304,91,368,113,"[141.0, 233.0, 203.0, 262.0]"
00000_0084_neg.png,0,0.0,177,12,224,80,"[141.0, 233.0, 203.0, 262.0]"
00000_0000_neg.png,0,0.04034509137272835,0,76,140,300,"[87.0, 172.0, 147.0, 196.0]"
00000_0058_neg.png,0,0.3041982054710388,113,183,148,196,"[87.0, 172.0, 147.0, 196.0]"
00000_0039_neg.png,0,0.0,276,17,282,90,"[141.0, 233.0, 203.0, 262.0]"
00000_0087_neg.png,0,0.0,201,48,226,66,"[141.0, 233.0, 203.0, 262.0]"
00000_0097_neg.png,0,0.0,29,95,51,149,"[141.0, 233.0, 203.0, 262.0]"
00000_0017_neg.png,0,0.0,280,0,399,103,"[141.0, 233.0, 203.0, 262.0]"
00000_0047_neg.png,0,0.0,308,41,347,92,"[141.0, 233.0, 203.0, 262.0]"
00000_0027_neg.png,0,0.0,5,50,65,160,"[141.0, 233.0, 203.0, 262.0]"
00000_0052_neg.png,0,0.0,82,55,105,68,"[141.0, 233.0, 203.0, 262.0]"
00000_0021_neg.png,0,0.0,236,110,450,139,"[141.0, 233.0, 203.0, 262.0]"
00000_0086_neg.png,0,0.0,17,92,31,132,"[141.0, 233.0, 203.0, 262.0]"
00000_0008_neg.png,0,0.0,201,48,226,56,"[141.0, 233.0, 203.0, 262.0]"
00000_0034_neg.png,0,0.0,223,3,251,9,"[141.0, 233.0, 203.0, 262.0]"
00000_0066_neg.png,0,0.0,375,170,450,216,"[141.0, 233.0, 203.0, 262.0]"
00000_0045_neg.png,0,0.0,0,51,41,96,"[141.0, 233.0, 203.0, 262.0]"
00000_0051_neg.png,0,0.0,5,50,65,180,"[141.0, 233.0, 203.0, 262.0]"
00000_0011_neg.png,0,0.0,184,82,210,97,"[141.0, 233.0, 203.0, 262.0]"
00000_0059_neg.png,0,0.0,162,65,241,104,"[141.0, 233.0, 203.0, 262.0]"
00000_0038_neg.png,0,0.0,105,42,131,65,"[141.0, 233.0, 203.0, 262.0]"
00001_0009_pos.png,1,0.6168438792228699,122,150,391,260,"[4.0, 141.0, 394.0, 264.0]"
00001_0072_pos.png,1,0.5907635688781738,0,97,400,300,"[4.0, 141.0, 394.0, 264.0]"
00001_0085_pos.png,1,0.5873462557792664,86,145,331,260,"[4.0, 141.0, 394.0, 264.0]"
00001_0069_neg.png,0,0.0,177,63,210,76,"[4.0, 141.0, 394.0, 264.0]"
00001_0043_neg.png,0,0.007817385718226433,144,163,169,178,"[4.0, 141.0, 394.0, 264.0]"
00001_0090_neg.png,0,0.0,62,57,105,109,"[4.0, 141.0, 394.0, 264.0]"
00001_0083_neg.png,0,0.0,208,74,224,90,"[4.0, 141.0, 394.0, 264.0]"
00001_0065_neg.png,0,0.004878048785030842,288,170,314,179,"[4.0, 141.0, 394.0, 264.0]"
00001_0094_neg.png,0,0.0,31,0,227,80,"[4.0, 141.0, 394.0, 264.0]"
00002_0082_pos.png,1,0.6239780783653259,116,172,254,328,"[137.0, 174.0, 238.0, 307.0]"
00002_0092_pos.png,1,0.9407407641410828,137,172,238,301,"[137.0, 174.0, 238.0, 307.0]"
00002_0076_neg.png,0,0.0,158,52,191,62,"[137.0, 174.0, 238.0, 307.0]"
00002_0073_neg.png,0,0.2393413782119751,105,191,331,400,"[137.0, 174.0, 238.0, 307.0]"
00002_0017_neg.png,0,0.0,75,122,91,138,"[137.0, 174.0, 238.0, 307.0]"
00002_0010_neg.png,0,0.03677510470151901,144,213,170,232,"[137.0, 174.0, 238.0, 307.0]"
00002_0055_neg.png,0,0.0,371,0,400,14,"[137.0, 174.0, 238.0, 307.0]"
00002_0020_neg.png,0,0.0,4,233,26,253,"[137.0, 174.0, 238.0, 307.0]"
00003_0017_neg.png,0,0.0,0,155,32,183,"[257.0, 54.0, 378.0, 126.0]"
00003_0058_neg.png,0,0.0,20,36,96,198,"[257.0, 54.0, 378.0, 126.0]"
00003_0057_neg.png,0,0.0,101,250,232,300,"[257.0, 54.0, 378.0, 126.0]"
00004_0079_pos.png,1,0.7468553185462952,160,166,238,188,"[158.0, 164.0, 235.0, 185.0]"
00004_0099_neg.png,0,0.0,206,31,220,67,"[158.0, 164.0, 235.0, 185.0]"
